time[s],dt[s],fps,ex[mm],ey[mm],dex[mm/s],dey[mm/s],ix,iy,psi[rad],epsi[rad],psi_i,dpsi[rad/s],vx[mm/s],vy[mm/s],omega[rad/s],cmd1,cmd2,cmd3,vwh1[mm/s],vwh2[mm/s],vwh3[mm/s]
0.017158,0.017158,58.281,1.575000,9.843750,0.000000,0.000000,0.027024,0.168902,1.844471,-1.844471,-0.031648,0.000000,4.743917,29.649481,-0.000000,-5,-9,14,-10.716388,-18.933093,29.649481
0.034708,0.017550,56.981,1.575000,9.843750,0.000000,0.000000,0.054665,0.341657,1.846447,-1.846447,-0.064053,0.112619,4.763266,29.770410,-0.000000,-5,-9,14,-10.760096,-19.010314,29.770410
0.052429,0.017721,56.431,1.575000,9.843750,0.000000,0.000000,0.082575,0.516095,1.845918,-1.845918,-0.096764,-0.029867,4.782803,29.892517,0.000000,-5,-9,14,-10.804230,-19.088287,29.892517
0.067989,0.015560,64.267,1.575000,9.843750,0.000000,0.000000,0.107082,0.669265,1.844163,-1.844163,-0.125459,-0.112758,4.799958,29.999736,0.000000,-5,-9,14,-10.842983,-19.156753,29.999736
0.085314,0.017325,57.720,1.575000,9.843750,0.000000,0.000000,0.134370,0.839810,1.838860,-1.838860,-0.157318,-0.306095,4.819059,30.119117,0.000000,-5,-9,15,-10.886131,-19.232986,30.119117
0.102359,0.017045,58.669,1.706250,9.843750,7.700304,0.000000,0.163452,1.007595,1.832552,-1.832552,-0.188553,-0.370109,6.773227,30.236566,0.000000,-4,-10,15,-9.252496,-20.984070,30.236566
0.119691,0.017332,57.696,1.837500,9.712500,7.572560,-7.572560,0.195300,1.175935,1.831027,-1.831027,-0.220289,-0.087944,7.163722,28.446142,0.000000,-4,-10,14,-8.019106,-20.427037,28.446142
0.137857,0.018166,55.048,2.100000,9.581250,14.450209,-7.225105,0.233449,1.349986,1.824946,-1.824946,-0.253441,-0.334769,9.353456,28.243719,0.000000,-3,-11,14,-6.021529,-22.222190,28.243719
0.155112,0.017255,57.956,2.493750,9.318750,22.820014,-15.213342,0.276477,1.510777,1.824768,-1.824768,-0.284926,-0.010296,12.238787,25.971126,0.000000,-1,-11,12,-2.386463,-23.584663,25.971126
0.171010,0.015899,62.898,2.887500,9.187500,24.766169,-8.255390,0.322385,1.656847,1.822570,-1.822570,-0.313903,-0.138254,13.841403,27.071215,0.000000,0,-12,13,-1.548601,-25.522614,27.071215
0.189174,0.018163,55.056,3.281250,8.925000,21.678159,-14.452106,0.381984,1.818955,1.822399,-1.822399,-0.347004,-0.009427,14.446770,25.157848,0.000000,0,-12,12,-0.067654,-25.090194,25.157848
0.206343,0.017169,58.245,3.675000,8.662500,22.933778,-15.289185,0.445080,1.967682,1.819308,-1.819308,-0.378240,-0.180017,15.923311,24.307040,0.000000,0,-12,12,1.636472,-25.943512,24.307040
0.223673,0.017330,57.703,3.937500,8.531250,15.146995,-7.573498,0.513317,2.115530,1.835749,-1.835749,-0.410053,0.948687,15.201221,25.559921,-0.000000,0,-12,12,0.384683,-25.944604,25.559921
0.241017,0.017344,57.658,4.068750,8.531250,7.567563,0.000000,0.583885,2.263494,1.833045,-1.833045,-0.441845,-0.155901,14.128482,27.178196,0.000000,0,-12,13,-1.353474,-25.824722,27.178196
0.257471,0.016454,60.775,4.200000,8.400000,7.976677,-7.976677,0.652992,2.401709,1.828185,-1.828185,-0.471927,-0.295414,14.652430,25.285861,0.000000,0,-12,12,0.046446,-25.332307,25.285861
0.273570,0.016099,62.116,4.200000,8.137500,0.000000,-16.305385,0.720608,2.532715,1.832981,-1.832981,-0.501436,0.297941,13.104426,22.924323,-0.000000,0,-11,11,-0.113396,-22.810927,22.924323
0.291992,0.018422,54.283,4.331250,7.875000,7.124677,-14.249354,0.800398,2.677787,1.839463,-1.839463,-0.535322,0.351872,14.978964,22.649580,-0.000000,0,-12,11,1.647373,-24.296953,22.649580
0.307760,0.015769,63.417,4.462500,7.743750,8.323542,-8.323542,0.870765,2.799895,1.844700,-1.844700,-0.564410,0.332110,15.661744,23.526468,-0.000000,0,-12,11,1.800234,-25.326702,23.526468
0.326132,0.018372,54.430,4.593750,7.612500,7.144001,-7.144001,0.955162,2.939752,1.847059,-1.847059,-0.598345,0.128378,15.878663,23.466526,-0.000000,1,-12,11,2.018063,-25.484589,23.466526
0.342579,0.016447,60.802,4.593750,7.218750,0.000000,-23.940785,1.030714,3.058477,1.843877,-1.843877,-0.628671,-0.193466,14.502750,19.009027,0.000000,1,-11,9,3.055236,-22.064263,19.009027
0.362606,0.020027,49.933,4.725000,6.825000,6.553756,-19.661268,1.125340,3.195159,1.850957,-1.850957,-0.665739,0.353549,16.273489,18.779358,-0.000000,2,-11,9,4.703576,-23.482934,18.779358
0.377439,0.014833,67.416,4.856250,6.562500,8.848387,-17.696774,1.197374,3.292502,1.853321,-1.853321,-0.693230,0.159325,17.176589,18.452897,-0.000000,2,-12,9,5.648914,-24.101811,18.452897
0.394568,0.017129,58.379,4.987500,6.300000,7.662255,-15.324511,1.282807,3.400418,1.859089,-1.859089,-0.725075,0.336785,17.392916,18.215390,-0.000000,2,-12,9,5.955012,-24.170402,18.215390
0.411753,0.017185,58.190,4.987500,5.906250,0.000000,-22.912460,1.368517,3.501917,1.864901,-1.864901,-0.757123,0.338200,15.920462,15.587600,-0.000000,2,-10,7,5.993725,-21.581324,15.587600
0.428707,0.016954,58.983,5.118750,5.512500,7.741561,-23.224683,1.455300,3.595375,1.864077,-1.864077,-0.788727,-0.048656,17.923272,14.409326,0.000000,4,-11,7,8.317346,-22.726672,14.409326
0.446475,0.017767,56.284,5.250000,5.118750,7.387212,-22.161635,1.548578,3.686321,1.869544,-1.869544,-0.821943,0.307752,18.311447,13.504348,-0.000000,4,-11,6,9.106004,-22.610352,13.504348
0.462971,0.016497,60.618,5.118750,4.593750,-7.956157,-31.824627,1.633020,3.762103,1.881770,-1.881770,-0.852986,0.741078,14.908133,10.049796,-0.000000,3,-8,5,7.885923,-17.935720,10.049796
0.480077,0.017106,58.460,4.856250,4.068750,-15.345870,-30.691740,1.716089,3.831701,1.877307,-1.877307,-0.885099,-0.260871,12.700838,8.750093,0.000000,3,-7,4,6.624202,-15.374295,8.750093
0.497169,0.017092,58.507,4.725000,3.675000,-7.679036,-23.037108,1.796849,3.894514,1.888340,-1.888340,-0.917374,0.645507,13.896987,9.143738,-0.000000,3,-8,4,7.463275,-16.607013,9.143738
0.513226,0.016057,62.277,4.462500,3.150000,-16.347753,-32.695506,1.868504,3.945094,1.879807,-1.879807,-0.947559,-0.531414,11.425902,5.672465,0.000000,3,-6,2,7.058889,-12.731354,5.672465
0.531788,0.018562,53.873,4.331250,3.018750,-7.070868,-7.070868,1.948901,4.001129,1.863976,-1.863976,-0.982158,-0.852893,12.943807,10.442866,0.000000,2,-8,5,5.988233,-16.431099,10.442866
0.547722,0.015934,62.760,4.462500,3.018750,8.237231,0.000000,2.020006,4.049229,1.860458,-1.860458,-1.011802,-0.220794,16.448950,11.890710,0.000000,4,-10,5,8.299854,-20.190564,11.890710
0.564389,0.016667,60.000,4.462500,3.018750,0.000000,0.000000,2.094381,4.099541,1.850230,-1.850230,-1.042639,-0.613673,14.853566,11.925929,0.000000,3,-9,5,6.900601,-18.826530,11.925929
0.581487,0.017099,58.483,4.462500,2.887500,0.000000,-7.675931,2.170684,4.148914,1.861490,-1.861490,-1.074468,0.658512,14.906979,10.031554,-0.000000,3,-8,5,7.894046,-17.925599,10.031554
0.598658,0.017171,58.238,4.462500,2.887500,0.000000,0.000000,2.247310,4.198495,1.858757,-1.858757,-1.106385,-0.159132,14.960617,11.601447,0.000000,3,-9,5,7.155551,-18.756997,11.601447
0.615702,0.017044,58.673,4.462500,2.887500,0.000000,0.000000,2.323367,4.247708,1.856084,-1.856084,-1.138019,-0.156864,15.013857,11.635896,0.000000,3,-9,5,7.184433,-18.820329,11.635896
0.633493,0.017791,56.209,4.462500,2.887500,0.000000,0.000000,2.402758,4.299079,1.859865,-1.859865,-1.171108,0.212525,15.069431,11.671856,-0.000000,3,-9,5,7.214582,-18.886437,11.671856
0.651124,0.017631,56.718,4.462500,2.887500,0.000000,0.000000,2.481437,4.349989,1.863323,-1.863323,-1.203960,0.196136,15.124506,11.707492,-0.000000,3,-9,5,7.244460,-18.951952,11.707492
0.667034,0.015911,62.851,4.331250,2.887500,-8.249204,0.000000,2.550349,4.395931,1.877081,-1.877081,-1.233826,0.864721,13.129154,11.739652,-0.000000,2,-8,5,5.500355,-17.240007,11.739652
0.684097,0.017063,58.607,4.331250,2.887500,0.000000,0.000000,2.624252,4.445199,1.874564,-1.874564,-1.265811,-0.147540,14.830726,11.774140,0.000000,3,-9,5,6.956716,-18.730856,11.774140
0.701227,0.017130,58.378,4.331250,2.756250,0.000000,-7.662149,2.698445,4.492413,1.867023,-1.867023,-1.297792,-0.440209,14.882661,9.881009,0.000000,3,-8,4,7.948258,-17.829268,9.881009
0.718481,0.017254,57.956,4.200000,2.625000,-7.606776,-7.606776,2.770913,4.537706,1.859605,-1.859605,-1.329878,-0.429910,13.018284,9.530039,0.000000,3,-8,4,6.509145,-16.039184,9.530039
